authors,title,journal,year,month,volume_issue,pages,doi,url,featured,ignore,themes,lab_authors,pdf_url,code_url,brief_url,ppt_url,press_url,image_filename,summary,abstract,system,response
"Madadgar, Shahrbanou; AghaKouchak, Amir; Farahmand, Alireza; Davis, Steven J.",Probabilistic estimates of drought impacts on agricultural production,Geophyscial Research Letters,2017,8,,,10.1002/2017GL073606,https://doi.org/10.1002/2017GL073606,FALSE,,land,steve-davis,,,,,,,"Droughts reduced yields of Australia's five largest crops by 25‚Äì45% compared to wet seasons, with precipitation and soil moisture as key predictors.","Increases in the severity and frequency of drought in a warming climate may negatively impact agricultural production and food security. Unlike previous studies that have estimated agricultural impacts of climate condition using single‚Äêcrop yield distributions, we develop a multivariate probabilistic model that uses projected climatic conditions (e.g., precipitation amount or soil moisture) throughout a growing season to estimate the probability distribution of crop yields. We demonstrate the model by an analysis of the historical period 1980‚Äì2012, including the Millennium Drought in Australia (2001‚Äì2009). We find that precipitation and soil moisture deficit in dry growing seasons reduced the average annual yield of the five largest crops in Australia (wheat, broad beans, canola, lupine, and barley) by 25‚Äì45% relative to the wet growing seasons. Our model can thus produce region‚Äê and crop‚Äêspecific agricultural ‚Ä¶",food,
"Marcotullio, Peter J.; Bruhwiler, Lori; Davis, Steven; Engel-Cox, Jill; Field, John; Gately, Conor; Gurney, Kevin R.; Kammen, Daniel M.; McGlynn, Emily; McMahon, James; III, William R. M.; Ocko, Ilissa B.; Torrie, Ralph",Energy Systems,,2018,11,,613-746,10.1201/9781003175629,https://www.osti.gov/biblio/1545978,FALSE,IGNORE,energy,steve-davis,,,,,,,"North American energy systems contribute substantially to global carbon cycles, with efficiency improvements offering the clearest path to emissions reductions.","The focus of SOCCR-2 is on the scientific understanding of U.S. and North American carbon cycle stocks and fluxes, in the context of and interactions with global scale budgets and climate change impacts in managed and unmanaged systems. Carbon stocks and fluxes in soils, water (including oceans), vegetation, aquatic-terrestrial interfaces (coastal/ estuaries/ wetlands), human settlements, agriculture, forestry etc. are included. This chapter assesses the contribution of the North American energy system to the global carbon cycle, including the identification of pathways to greater energy efficiency with lower emissions. The system - defined by energy-related activities in Canada, Mexico, and the United States - includes primary energy sources; the infrastructure to extract, transport, convert, transmit, distribute, and use these resources; and the socioeconomic and political structures and dynamics associated with these processes (Romero-Lankao et al., 2014).",energy,
"Mazdiyasni, Omid; AghaKouchak, Amir; Davis, Steven J.; Madadgar, Shahrbanou; Mehran, Ali; Ragno, Elisa; Sadegh, Mojtaba; Sengupta, Ashmita; Ghosh, Subimal; Dhanya, C T.; Niknejad, Mohsen",Increasing probability of mortality during Indian heat waves,Science Advances,2017,6,3,e1700066,10.1126/sciadv.1700066,https://doi.org/10.1126/sciadv.1700066,FALSE,,impacts,steve-davis,,,,,,,Heat waves in India became 146% more likely to cause 100+ deaths between 1960‚Äì2009 as summer temperatures rose above 0.5 ¬∞C.,"Rising global temperatures are causing increases in the frequency and severity of extreme climatic events, such as floods, droughts, and heat waves. We analyze changes in summer temperatures, the frequency, severity, and duration of heat waves, and heat-related mortality in India between 1960 and 2009 using data from the India Meteorological Department. Mean temperatures across India have risen by more than 0.5¬∞C over this period, with statistically significant increases in heat waves. Using a novel probabilistic model, we further show that the increase in summer mean temperatures in India over this period corresponds to a 146% increase in the probability of heat-related mortality events of more than 100 people. In turn, our results suggest that future climate warming will lead to substantial increases in heat-related mortality, particularly in developing low-latitude countries, such as India, where heat waves ‚Ä¶",,impacts
"Meier, A.; Davis, S.J.; Victor, D.G.; Brown, K.; McNeilly, L.; Modera, M.; Pass, R.Z.; Sager, J.; Weil, D.; Auston, D.; Abdulla, A.; Bockmiller, F.; Brase, W.; Brouwer, J.; Diamond, C.; Dowey, E.; Elliott, J.; Eng, R.; Kaffka, S.; Kappel, C.V.; Kloss, M.; Meziƒá, I.; Morejohn, J.; Phillips, D.; Ritzinger, E.; Weissman, S.; Williams, J.",University of california strategies for decarbonization: replacing natural gas,UC TomKat Carbon Neutrality Project,2018,,,,,https://scholar.google.com/scholar?cluster=10584653586773651861&hl=en&oi=scholarr,FALSE,IGNORE,"energy,emissions",steve-davis,,,,,,,,,energy,mitigation
"Meng, Jing; Mi, Zhifu; Guan, Dabo; Li, Jiashuo; Tao, Shu; Li, Yuan; Feng, Kuishuang; Liu, Junfeng; Liu, Zhu; Wang, Xuejun; Zhang, Qiang; J., Davis S.",The rise of South‚ÄìSouth trade and its effect on global CO‚ÇÇ emissions,Nature Communications,2018,5,1871,,10.1038/s41467-018-04337-y,https://doi.org/10.1038/s41467-018-04337-y,FALSE,,trade,steve-davis,,,,,,,"South-South trade growth is shifting energy-intensive production from China and India to other developing nations, redistributing global emissions rather than reducing them.","Economic globalization and concomitant growth in international trade since the late 1990s have profoundly reorganized global production activities and related CO‚ÇÇ emissions. Here we show trade among developing nations (i.e., South‚ÄìSouth trade) has more than doubled between 2004 and 2011, which reflects a new phase of globalization. Some production activities are relocating from China and India to other developing countries, particularly raw materials and intermediate goods production in energy-intensive sectors. In turn, the growth of CO‚ÇÇ emissions embodied in Chinese exports has slowed or reversed, while the emissions embodied in exports from less-developed regions such as Vietnam and Bangladesh have surged. Although China‚Äôs emissions may be peaking, ever more complex supply chains are distributing energy-intensive industries and their CO‚ÇÇ emissions throughout the global South. This ‚Ä¶",,mitigation:trade
"Mittakola, Rohith T.; Ciais, Philippe; Schubert, Jochen E.; Makowski, David; Zhou, Chuanlong; Bazzi, Hassan; Sun, Taochun; Liu, Zhu; Davis, Steven J.",Drivers of natural gas use in U.S. residential buildings,Science Advances,2024,4,10(14),,10.1126/sciadv.adh5543,https://doi.org/10.1126/sciadv.adh5543,FALSE,,"energy,emissions",steve-davis,,,,,,,Insulation improvements and behavioral changes could reduce U.S. residential gas emissions by 2.47 million metric tons annually.,"Natural gas is the primary fuel used in U.S. residences, yet little is known about its consumption patterns and drivers. We use daily county-level gas consumption data to assess the spatial patterns of the relationships and the sensitivities of gas consumption to outdoor air temperature across U.S. households. We fitted linear-plus-plateau functions to daily gas consumption data in 1000 counties, and derived two key coefficients: the heating temperature threshold ( T crit ) and the gas consumption rate change per 1°C temperature drop (Slope). We identified the main predictors of T crit and Slope (like income, employment rate, and building type) using interpretable machine learning models built on census data. Finally, we estimated a potential 2.47 million MtCO 2 annual emission reduction in U.S. residences by gas savings due to household insulation improvements and hypothetical behavioral change toward reduced …",energy,mitigation
"Ouyang, Zutao; Jackson, Robert B.; Saunois, Marielle; Canadell, Josep G.; Zhao, Yuanhong; Morfopoulos, Catherine; Krummel, Paul B.; Patra, Prabir K.; Peters, Glen P.; Dennison, Fraser; Gasser, Thomas; Archibald, Alexander T.; Arora, Vivek; Baudoin, Gabriel; Chandra, Naveen; Ciais, Philippe; Davis, Steven J.; Feron, Sarah; Guo, Fangzhou; Hauglustaine, Didier; Jones, Christopher D.; Jones, Matthew W.; Kato, Etsushi; Kennedy, Daniel; Knauer, J√ºrgen; Lienert, Sebastian; Lombardozzi, Danica; Melton, Joe R.; Nabel, Julia E.; O‚ÄôSullivan, Michael; P√©tron, Gabrielle; Poulter, Benjamin; Rogelj, Joeri; Sandoval Calle, David; Smith, Pete; Suntharalingam, Parvadha; Tian, Hanqin; Wang, Chenghao; Wiltshire, Andy",The global hydrogen budget,Nature,2025,12,648(8094),616-624,10.1038/s41586-025-09806-1,https://doi.org/10.1038/s41586-025-09806-1,FALSE,,"energy,emissions",steve-davis,,,,,,,Hydrogen's indirect warming effects through atmospheric interactions mean scaling up hydrogen energy requires careful management of production leaks and emissions.,"Hydrogen (H 2 ) will play a part in decarbonizing the global energy system. However, hydrogen interacts with methane, ozone, and stratospheric water vapour, leading to an indirect 100-year global warming potential of 11 ± 4 (refs. , , – ). This raises concerns about the climate consequences of increasing H 2 use under future hydrogen economies , . A comprehensive accounting of H 2 sources and sinks is essential for assessing changes and mitigating environmental risks. Here we analyse trends in global H 2 sources and sinks from 1990 to 2020 and construct a comprehensive budget for the decade 2010–2020. H 2 sources increased from 1990 to 2020, primarily because of the oxidation of methane and anthropogenic non-methane volatile organic compounds, biogenic nitrogen fixation, and leakage from H 2 production. Sinks also increased in response to rising atmospheric H 2 . Estimated global H 2 sources and …",energy,mitigation
"Page Chamberlain, C.; Mix, Hari T.; Mulch, Andreas; Hren, Michael T.; Kent-Corson, Malinda L.; Davis, Steven J.; Horton, Travis; Graham, Stephan A.",The Cenozoic climatic and topographic evolution of the western North American Cordillera,American Journal of Science,2012,2,312(2),213-262,10.2475/02.2012.05,https://doi.org/10.2475/02.2012.05,FALSE,,,steve-davis,,,,,,,Oxygen isotope records reveal how western North America's mountains and climate evolved together over the past 66 million years.,"Herein we present oxygen isotope records from Cretaceous to Recent terrestrial sediments in the western North American Cordillera. The purpose of this analysis is to use oxygen isotope records to understand the coupled surface elevation and climate histories of this region through the Cenozoic. To do this we constructed Œ¥¬π‚Å∏ (O) maps of surface waters for time intervals that trace the development of topography of western North America. These maps are based on 4861 oxygen isotope analyses from both published (4478) and new (383) data. We determined the Œ¥¬π‚Å∏ (O) values of surface waters using paleotemperatures derived previously from floral assemblages and the appropriate isotope fractionation factors. These data suggest that in the late Cretaceous to early Eocene the Sevier hinterland formed a plateau of unknown height. Around 50 Ma, a topographic wave developed in British Columbia and eastern ‚Ä¶",,
"Peters, Glen P.; Davis, Steven J.; Andrew, Robbie M.",A synthesis of carbon in international trade,Biogeosciences Discuss,2012,3,9,3949-4023,10.5194/bg-9-3247-2012,https://doi.org/10.5194/bg-9-3247-2012,FALSE,,"trade,energy",steve-davis,,,,,,,"Fossil fuels dominate international carbon trade, followed by embodied emissions in manufactured goods and agricultural products.","In a globalised world, the transfer of carbon between regions, either physically or embodied in production, represents a substantial fraction of global carbon emissions. The resulting emission transfers are important for balancing regional carbon budgets and for understanding the drivers of emissions. In this paper we synthesise current understanding in two parts: (1) CO‚ÇÇ emissions embodied in goods and services that are produced in one country but consumed in others, and (2) carbon physically present in fossil fuels, petroleum-derived products, harvested wood products, crops, and livestock products. We describe the key differences between studies and provide a consistent set of estimates using the same definitions, modelling framework, and consistent data. We find the largest trade flows of carbon in international trade in 2004 were fossil fuels (2673 MtC, 37 % of global emissions), CO‚ÇÇ embodied in traded goods and services (1661 MtC, 22 % of global emissions), crops (522 MtC, 31 % of total harvested crop carbon), petroleum-based products (183 MtC, 50 % of their total production), harvested wood products (149 MtC, 40 % of total roundwood extraction), and livestock products (28 MtC, 22 % of total livestock carbon). We find that for embodied CO‚ÇÇ emissions, estimates from independent studies are robust, and that differences between individual studies are not a reflection of the uncertainty in consumption-based estimates, but rather these differences result from the use of different production-based emissions input data and different definitions for allocating emissions to international trade. After adjusting for these issues, results across ‚Ä¶",energy,mitigation:trade
"Philippe, Ciais; Br√©on, Fran√ßois M.; Dellaert, Stijn N.; Wang, Yilong; Tanaka, Katsumasa; Gurriaran, L√©na; Fran√ßoise, Yann; Davis, Steven J.; Hong, Chaopeng; Penuelas, Josep; Janssens, Ivan; Obersteiner, Michael; Deng, Zhu; Liu, Zhu",Impact of lockdowns and winter temperatures on natural gas consumption in Europe,Earth and Space Science Open Archive ESSOAr,2021,6,,,10.1002/essoar.10507326.1,https://doi.org/10.1002/essoar.10507326.1,FALSE,IGNORE,energy,steve-davis,,,,,,,"European lockdowns reduced industrial gas use proportionally to production drops, while residential gas fell despite more people staying home and cold weather.","As the COVID-19 virus spread over the world, governments restricted mobility to slow transmission. Public health measures had different intensities across European countries but all had significant impact on people’s daily lives and economic activities, causing a drop of CO₂ emissions of about 10% for the whole year 2020. Here, we analyze changes in natural gas use in the industry and built environment sectors during the first half of year 2020 with daily gas flows data from pipeline and storage facilities in Europe. We find that reductions of industrial gas use reflect decreases in industrial production across most countries. Surprisingly, natural gas use in buildings also decreased despite most people being confined at home and cold spells in March 2020. Those reductions that we attribute to the impacts of COVID-19 remain of comparable magnitude to previous variations induced by cold or warm climate anomalies …",energy,
"Protocol, Greenhouse G.",Product life cycle accounting and reporting standard,World Business Council for Sustainable Development and World Resource Institute,2011,9,,,,,FALSE,IGNORE,,steve-davis,,,,,,,,,,
"Qin, Yue; Abatzoglou, John T.; Siebert, Stefan; Huning, Laurie S.; AghaKouchak, Amir; Mankin, Justin S.; Hong, Chaopeng; Tong, Dan; Davis, Steven J.; Mueller, Nathaniel D.",Agricultural risks from changing snowmelt,Nature Climate Change,2020,5,10(5),459-465,10.1038/s41558-020-0746-8,https://doi.org/10.1038/s41558-020-0746-8,FALSE,,"water,food,land",steve-davis,,,,,,,"Changing snowmelt timing threatens irrigation in high-mountain Asia, Central Asia, and the western Americas, requiring alternative water sources for up to 40% of demand.","Snowpack stores cold-season precipitation to meet warm-season water demand. Climate change threatens to disturb this balance by altering the fraction of precipitation falling as snow and the timing of snowmelt, which may have profound effects on food production in basins where irrigated agriculture relies heavily on snowmelt runoff. Here, we analyse global patterns of snowmelt and agricultural water uses to identify regions and crops that are most dependent on snowmelt water resources. We find hotspots primarily in high-mountain Asia (the Tibetan Plateau), Central Asia, western Russia, western US and the southern Andes. Using projections of sub-annual runoff under warming scenarios, we identify the basins most at risk from changing snowmelt patterns, where up to 40% of irrigation demand must be met by new alternative water supplies under a 4 ¬∞C warming scenario. Our results highlight basins and ‚Ä¶","water,food",
"Qin, Yue; Hong, Chaopeng; Zhao, Hongyan; Siebert, Stefan; Abatzoglou, John T.; Huning, Laurie S.; Sloat, Lindsey L.; Park, Sohyun; Li, Shiyu; Munroe, Darla K.; Zhu, Tong; Davis, Steven J.; Mueller, Nathaniel D.",Snowmelt risk telecouplings for irrigated agriculture,Nature Climate Change,2022,11,12(11),1007-1015,10.1038/s41558-022-01509-z,https://doi.org/10.1038/s41558-022-01509-z,FALSE,,"food,land,trade",steve-davis,,,,,,,"Climate change is shifting snowmelt timing and magnitude, exposing globally traded agricultural products to new water risks concentrated in a few supplier countries.","Climate change is altering the timing and magnitude of snowmelt, which may either directly or indirectly via global trade affect agriculture and livelihoods dependent on snowmelt. Here, we integrate subannual irrigation and snowmelt dynamics and a model of international trade to assess the global redistribution of snowmelt dependencies and risks under climate change. We estimate that 16% of snowmelt used for irrigation is for agricultural products traded globally, of which over 70% is from five countries. Globally, we observe a prodigious snowmelt dependence and risk diffusion, with particularly evident importing of products at risk in western Europe. In Germany and the UK, local fraction of surface-water-irrigated agriculture supply exposed to snowmelt risks could increase from negligible to 16% and 10%, respectively, under a 2 ¬∞C warming. Our results reveal the trade-exposure of agricultural supplies ‚Ä¶",food,mitigation:trade
"Qin, Yue; Mueller, Nathaniel D.; Siebert, Stefan; Jackson, Robert B.; AghaKouchak, Amir; Zimmerman, Julie B.; Tong, Dan; Hong, Chaopeng; Davis, Steven J.",Flexibility and intensity of global water use,Nature Sustainability,2019,6,2(6),515-523,10.1038/s41893-019-0294-2,https://doi.org/10.1038/s41893-019-0294-2,FALSE,,"water,food,land,emissions",steve-davis,,,,,,,Water stress depends not just on scarcity but on how flexible water uses are and how variable runoff becomes.,"Water stress is often evaluated by scarcity: the share of available water supply being consumed by humans. However, some consumptive uses of water are more or less flexible than others, depending on the costs or effects associated with their curtailment. Here, we estimate the share of global water consumption over the period 1980‚Äì2016 from the relatively inflexible demands of irrigating perennial crops, cooling thermal power plants, storing water in reservoirs and supplying basic water for humans and livestock. We then construct a water stress index that integrates the share of runoff being consumed (scarcity), the share of consumption in these inflexible categories (flexibility) and the historical variability of runoff weighted by storage capacity (variability), and use our index to evaluate the trends in water stress of global major river basins on six continents. We find that the 10% most stressed basins encompass ~19 ‚Ä¶","water,food",mitigation
"Qu√©r√©, Corinne L.; Peters, Glen P.; Friedlingstein, Pierre; Andrew, Robbie M.; Canadell, Josep G.; Davis, Steven J.; Jackson, Robert B.; Jones, Matthew W.",Fossil CO‚ÇÇ emissions in the post-COVID-19 era,Nature Climate Change,2021,3,11,197-199,10.1038/s41558-021-01001-0,https://doi.org/10.1038/s41558-021-01001-0,FALSE,,"energy,emissions",steve-davis,,,,,,,Post-COVID economic recovery investments in fossil fuels risk reversing emission gains unless new policies prioritize climate targets over infrastructure expansion.,"Five years after the adoption of the Paris Climate Agreement, growth in global CO‚ÇÇ emissions has begun to falter. The pervasive disruptions from the COVID-19 pandemic have radically altered the trajectory of global CO‚ÇÇ emissions. Contradictory effects of the post-COVID-19 investments in fossil fuel-based infrastructure and the recent strengthening of climate targets must be addressed with new policy choices to sustain a decline in global emissions in the post-COVID-19 era.",energy,mitigation
"Ramanathan, V.; Allison, J.; Auffhammer, M.; Auston, D.; Barnosky, A.; Chiang, L.; Collins, W.; Davis, S.; Forman, F.; Hecht, S.; Kammen, D.; Lin Lawell, C.Y.; Matlock, T.; Press, D.; Rotman, D.; Samuelsen, S.; Solomon, G.; Victor, D.; Washom, B.; Christensen, J.",Bending the Curve: Ten Scalable Solutions for Carbon Neutrality and Climate Stability,Collabra: Psychology,2016,12,2(1),,,,FALSE,IGNORE,"energy,emissions",steve-davis,,,,,,,,,energy,mitigation
"Ratledge, Nathan; Davis, Steven J.; Zachary, Laura",Public lands fly under climate radar,Nature Climate Change,2019,2,9(2),92-93,10.1038/s41558-019-0399-7,https://doi.org/10.1038/s41558-019-0399-7,FALSE,,"energy,emissions",steve-davis,,,,,,,Fossil fuels extracted from U.S. federal lands contributed over 20% of the nation's greenhouse gas emissions in recent years.,Global greenhouse gas emissions are set to rise again in 2018. New research from the United States Geological Survey casts light on emissions from fuels produced on federal lands and finds that they accounted for over 20% of US emissions in recent years.,energy,mitigation
"Raupach, Michael R.; Davis, Steven J.; Peters, Glen P.; Andrew, Robbie M.; Canadell, Josep G.; Ciais, Philippe; Friedlingstein, Pierre; Jotzo, Frank; Vuuren, Detlef P. V.; Qu√©r√©, Corinne L.",Sharing a quota on cumulative emissions,Nature Climate Change,2014,9,,,,,FALSE,,"energy,emissions",steve-davis,,,,,,,"National emission limits tied to a 2 ¬∞C warming target require annual cuts exceeding 5%, whether using current or equal per-capita allocation approaches.","Any limit on future global warming is associated with a quota on cumulative global CO‚ÇÇ emissions. We translate this global carbon quota to regional and national scales, on a spectrum of sharing principles that extends from continuation of the present distribution of emissions to an equal per-capita distribution of cumulative emissions. A blend of these endpoints emerges as the most viable option. For a carbon quota consistent with a 2 ¬∞C warming limit (relative to pre-industrial levels), the necessary long-term mitigation rates are very challenging (typically over 5% per year), both because of strong limits on future emissions from the global carbon quota and also the likely short-term persistence in emissions growth in many regions.",energy,mitigation
"van Roijen, Elisabeth; Miller, Sabbie A.; Davis, Steven J.",Building materials could store more than 16 billion tonnes of CO‚ÇÇ annually,Science,2025,1,387(6730),176-182,10.1126/science.adq8594,https://doi.org/10.1126/science.adq8594,TRUE,,"materials,carbon management",steve-davis,,,,,,cement.jpg,"Replacing conventional building materials with carbon-storing alternatives could sequester >16 billion tonnes of CO‚ÇÇ annually, half of current emissions.","Achieving net-zero greenhouse gas emissions likely entails not only lowering emissions but also deploying carbon dioxide (CO‚ÇÇ ) removal technologies. We explored the annual potential to store CO‚ÇÇ in building materials. We found that fully replacing conventional building materials with CO‚ÇÇ -storing alternatives in new infrastructure could store as much as 16.6 ¬± 2.8 billion tonnes of CO‚ÇÇ each year‚Äîroughly 50% of anthropogenic CO‚ÇÇ emissions in 2021. The total storage potential is far more sensitive to the scale of materials used than the quantity of carbon stored per unit mass of materials. Moreover, the carbon storage reservoir of building materials will grow in proportion to demand for such materials, which could reduce demand for more costly or environmentally risky geological, terrestrial, or ocean storage.",materials,mitigation:carbon-management
"Rozenberg, Julie; Davis, Steven J.; Narloch, Ulf; Hallegatte, Stephane",Climate constraints on the carbon intensity of economic growth,Environmental Research Letters,2015,9,10(9),95006,10.1088/1748-9326/10/9/095006,https://doi.org/10.1088/1748-9326/10/9/095006,FALSE,,"energy,emissions",steve-davis,,,,,,,Meeting climate goals while enabling economic growth requires drastically reducing carbon intensity of new infrastructure or deploying large-scale carbon removal.,"Development and climate goals together constrain the carbon intensity of production. Using a simple and transparent model that represents committed CO‚ÇÇ emissions (future emissions expected to come from existing capital), we explore the carbon intensity of production related to new capital required for different temperature targets across several thousand scenarios. Future pathways consistent with the 2 ¬∞C target which allow for continued gross domestic product growth require early action to reduce carbon intensity of new production, and either (i) a short lifetime of energy and industry capital (e.g. early retrofit of coal power plants), or (ii) large negative emissions after 2050 (i.e. rapid development and dissemination of carbon capture and sequestration). To achieve the 2 ¬∞C target, half of the scenarios indicate a carbon intensity of new production between 33 and 73 g CO‚ÇÇ /$‚Äîmuch lower than the global average ‚Ä¶",energy,mitigation
"Ruggles, Tyler H.; Virg√ºez, Edgar; Reich, Natasha; Dowling, Jacqueline; Bloomfield, Hannah; Antonini, Enrico G.; Davis, Steven J.; Lewis, Nathan S.; Caldeira, Ken",Planning reliable wind-and solar-based electricity systems,Advances in Applied Energy,2024,9,15,100185,10.1016/j.adapen.2024.100185,https://doi.org/10.1016/j.adapen.2024.100185,FALSE,,"energy,emissions",steve-davis,,,,,,,Planning reliable wind and solar systems requires nearly 40 years of weather data to ensure dependable electricity supply.,"Resource adequacy, or ensuring that electricity supply reliably meets demand, is more challenging for wind- and solar-based electricity systems than fossil-fuel-based ones. Here, we investigate how the number of years of past weather data used in designing least-cost systems relying on wind, solar, and energy storage affects resource adequacy. We find that nearly 40 years of weather data are required to plan highly reliable systems (e.g., zero lost load over a decade). In comparison, this same adequacy could be attained with 15 years of weather data when additionally allowing traditional dispatchable generation to supply 5 % of electricity demand. We further observe that the marginal cost of improving resource adequacy increased as more years, and thus more weather variability, were considered for planning. Our results suggest that ensuring the reliability of wind- and solar-based systems will require using ‚Ä¶",energy,mitigation
Mojtaba Sadegh; Amir AghaKouchak; Iman Mallakpour; Laurie S. Huning; Omid Mazdiyasni; Mohsen Niknejad; Efi Foufoula-Georgiou; Frances C. Moore; Jack Brouwer; Arvin Farid; Mohammad Reza Alizadeh; Alexandre Martinez; Nathaniel D. Mueller; Steven J. Davis,"Data and analysis toolbox for modeling the nexus of food, energy, and water",Sustainable Cities and Society,2020,5,61,102281,10.1016/j.scs.2020.102281,https://www.sciencedirect.com/science/article/pii/S2210670720305023,FALSE,,"food,water,energy",steve-davis,,,,,,,"Researchers created an interactive tool to model how food, energy, and water systems depend on each other at the country level.","Energy, water, and food resources are highly interdependent. Agricultural irrigation accounts for 84% of global consumptive freshwater use, the food supply chain demands up to 30% of global primary energy use, and roughly 80% of global electricity generation depends on water for cooling (an average of nearly 100 L of water withdrawn per kWh). Improving understanding of the complex interactions of this resource nexus is, therefore, a top priority for human well-being, sustainable development, and policymaking. Here, we present an interactive analysis toolbox, Nexus of Food, Energy, and W ater (NeFEW), that synthesizes available global data to enable modeling and analysis of these resources and their interdependencies at the country-level and for user-specified categories and quantities. Sample analyses also presented here include country-specific estimates of water resources required to produce different ‚Ä¶","food,water,energy",
"Sanders, Brett F.; Brady, David; Schubert, Jochen E.; Martin, Eva-Marie H.; Davis, Steven J.; Mach, Katharine J.",Quantifying Social Inequalities in Flood Risk,ASCE OPEN: Multidisciplinary Journal of Civil Engineering,2024,12,2(1),4024004,10.1061/AOMJAH.AOENG-0017,https://ascelibrary.org/doi/abs/10.1061/AOMJAH.AOENG-0017,FALSE,,"water,impacts",steve-davis,,,,,,,"Lorenz curves quantify how flood risk and damage distribute unequally across populations, enabling practitioners to identify and address disparities.","The distribution and inequalities of flood risks across space and social groups are important considerations for infrastructure design and adaptation. However, neither civil infrastructure practitioners nor researchers routinely assess inequalities quantitatively, which limits opportunities to address them. The Lorenz curve method has been used in many fields to study inequalities in both resource and risk distributions across populations, and it supports a quantitative measure of inequality, the Gini index. Here we present the formulation of Lorenz curves and a data analysis workflow to measure inequalities in both flood damages and flood exposure using flood hazard, flood damage, and social data. We define flood exposure as flood depth multiplied by population density, whereas flood damages are taken strictly as a measure of economic losses. We then show that Lorenz curves for flood damages have the potential ‚Ä¶",water,impacts
"Sanders, Brett F.; Schubert, Jochen E.; Kahl, Daniel T.; Mach, Katharine J.; Brady, David; AghaKouchak, Amir; Forman, Fonna; Matthew, Richard A.; Ulibarri, Nicola; Davis, Steven J.","Large and inequitable flood risks in Los Angeles, California",Nature sustainability,2023,1,6(1),47-57,10.1038/s41893-022-00977-7,https://doi.org/10.1038/s41893-022-00977-7,FALSE,,"water,impacts",steve-davis,,,,,,,"Los Angeles flood risks disproportionately affect 425,000 people and $56 billion in property, with greatest impact on Black and low-income communities.","Flood risks in the United States have historically been underestimated, particularly with respect to human well-being and within low-wealth and marginalized communities. Here, we characterize a fuller range of risks in Los Angeles, California, using a quantitative framework that intersects flood hazards from rainfall, streamflow and storm tides with measures of exposure and vulnerability including ethnicity, race and socioeconomic disadvantage. We find that between 197,000 and 874,000 people (median 425,000) and between US$36 billion and US$108 billion in property (median US$56 billion) are exposed to flooding greater than 30 cm within the 100-year flood zone, risk levels far above federally defined floodplains and similar to the most damaging hurricanes in US history. These risks are disproportionately higher for non-Hispanic Black and disadvantaged populations, burdening communities that may ‚Ä¶",water,impacts
"Seibel, Shane; Luarkie, Richard; Cardenas, Daniel; Mayer, Cody; Sanchez, Ramon; Dannenberg, Matt; Panek, Bazile M.; Bond, Albert; Gordon, Zane; Morishige, Demi; Hadrick, Kourtney; Stahnke, Graham; Fofrich, Robert; Davis, Steve; Tallman, Richard; Bowser, Brooke; Bazilian, Morgan D.",A path to US Tribal energy sovereignty,Science,2025,1,387(6732),372-372,10.1126/science.adt7820,https://doi.org/10.1126/science.adt7820,FALSE,,"energy,emissions",steve-davis,,,,,,,"I notice the abstract provided doesn't match the title at all—it's a retraction notice for an unrelated paper about clathrin-mediated endocytosis, not about US Tribal energy sovereignty.
 
 I cannot write an accurate summary without the correct abstract. Could you provide the actual abstract for the ""Path to US Tribal energy sovereignty"" paper?","In the 4 June 2010 issue, Science published the Report “FCHo proteins are nucleators of clathrin-mediated endocytosis” by WM Henne et al.(1). The editors and authors have been made aware of potential data integrity issues in several figures. We are alerting readers to this concern while we work with the institution and the authors to determine an appropriate course of action. H. Holden Thorp",energy,mitigation
